Countries,manners,independence,work,responsibility,imagination,respect,money,determination,religious,unselfishness,obedience,continent,y2010,y2011,y2012,y2013,y2014
Thailand,0,35.9,78.3,65.7,23.3,64.7,53,50.3,34.7,44.3,44.2,Asia,0011476,0010939,0010450,0010058,0009560
Trinidad and Tobago,0,58.6,61.4,48.6,5.8,84.2,35.2,26,68.1,16,71.9,America,0000474,0000457,0000440,0000421,0000404
Tunisia,0,55.1,73.9,77.3,15,54.9,23.2,28.7,76.1,33.2,38.7,Asia,0003199,0003137,0003110,0003087,0003026
Turkey,0,35,72,66.5,28.3,61.4,39.4,38,39.7,27.7,33.9,Asia,0024984,0023690,0022468,0021428,0020134
Ukraine,0,42.8,85.8,75.5,13,59,45.1,39.4,22.3,19.9,42.3,Europe,0006588,0006208,0005628,0004968,0004418
Egypt,0,80.2,50.4,59.2,6.2,62.3,22.5,17.8,83.4,29.2,42.1,Africa,0058541,0060009,0062567,0065228,0066378
United States,0,53.6,66.4,65.2,30.5,71.8,31.6,35.7,43.1,32.7,27.9,America,0029940,0028688,0027790,0026598,0025627
Uruguay,0,48.2,21.8,81.6,19.8,82,20.6,35,15.8,52.9,51.6,America,0000614,0000595,0000571,0000542,0000514
Uzbekistan,0,57.6,92.7,75,4,80.5,33.2,56.7,5.7,23.5,24.5,Asia,0030123,0029809,0029248,0028418,0027362
Yemen,0,30.6,31.7,68.7,9.1,80,38.3,30.5,84.5,31,70,Asia,0042829,0040766,0038904,0037215,0035658
